Compound,R1,R2,R3,pEC50,SMILES
37,OC(F)(F)(F),CC,CC=1(C=CC=CC1),6.59,CCN1C(=O)C(=C2SC3=CC=C(OC(F)(F)F)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
38,OC(F)(F)(F),CC,CC=1(C=CC=CC1),6.4,CCN1C(=O)C(=C2SC3=CC=C(OC(F)(F)F)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
39,C,CC,CC=1(C=CC=CC1),6.68,CCN1C(=O)C(=C2SC3=CC=C(C)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
40,C,CC,CC=1(C=CC=CC1),6.8,CCN1C(=O)C(=C2SC3=CC=C(C)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
41,C,CC,CC=1(C=CC=CC1),6.6,CCN1C(=O)C(=C2SC3=CC=C(C)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
42,C,CC,CC=1(C=CC=CC1),6.54,CCN1C(=O)C(=C2SC3=CC=C(C)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
43,CC,CC,CC=1(C=CC=CC1),7.1,CCN1C(=O)C(=C2SC3=CC=C(C)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
44,OC,CC,CC=1(C=CC=CC1),6.43,CCN1C(=O)C(=C2SC3=CC=C(OC)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
45,OC,CC,CC=1(C=CC=CC1),6.89,CCN1C(=O)C(=C2SC3=CC=C(OC)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
46,SC,CC,CC=1(C=CC=CC1),6.89,CCN1C(=O)C(=C2SC3=CC=C(SC)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
47,Cl,CC=C,CC=1(C=CC=CC1),6.77,C=CC[N+]1=CC=CC=C1C=C1SC(=C2SC3=CC=C(Cl)C=C3N2C)C(=O)N1CC1=CC=CC=C1.[Cl-]
48,Cl,CCCC,CC=1(C=CC=CC1),6.48,CCCC[N+]1=CC=CC=C1C=C1SC(=C2SC3=CC=C(Cl)C=C3N2C)C(=O)N1CC1=CC=CC=C1.[Cl-]
