Descriptor                     coef    stderr          t      pvals      y      z
ATS8pe             0.0002   8.54e-05      2.123      0.044    5.04e-06       0.000
ATS0are            0.0001   7.62e-05      1.377      0.181   -5.24e-05       0.000
ATS1are         -7.84e-05   4.75e-05     -1.650      0.112      -0.000    1.96e-05
ATS2are           -0.0001      0.000     -0.871      0.392      -0.000       0.000
ATS3are            0.0003      0.000      2.320      0.029    3.43e-05       0.001
ATS4are            0.0001   8.28e-05      1.775      0.089   -2.39e-05       0.000
ATS5are         4.254e-05      0.000      0.332      0.742      -0.000       0.000
ATS6are         4.853e-05      0.000      0.300      0.767      -0.000       0.000
ATS7are        -5.935e-06      0.000     -0.051      0.960      -0.000       0.000
ATS8are            0.0002      0.000      2.027      0.054   -4.46e-06       0.000
ATS0p          -1.163e-06   2.98e-05     -0.039      0.969   -6.27e-05    6.03e-05
ATS1p             2.7e-05    3.8e-05      0.711      0.484   -5.14e-05       0.000
ATS2p           8.116e-06   4.93e-05      0.165      0.871   -9.36e-05       0.000
ATS3p          -5.985e-05   1.65e-05     -3.627      0.001   -9.39e-05   -2.58e-05
ATS4p          -9.049e-06   7.19e-06     -1.258      0.221   -2.39e-05     5.8e-06
ATS5p          -2.595e-05   3.82e-05     -0.680      0.503      -0.000    5.28e-05
ATS6p          -4.808e-05    2.2e-05     -2.181      0.039   -9.36e-05   -2.58e-06
ATS7p          -3.584e-05   2.35e-05     -1.526      0.140   -8.43e-05    1.26e-05
ATS8p           2.746e-05   4.15e-05      0.662      0.515   -5.82e-05       0.000
ATS0i              0.0012      0.002      0.704      0.488      -0.002       0.005
ATS1i             -0.0017      0.001     -1.643      0.113      -0.004       0.000
ATS2i             -0.0023      0.001     -2.040      0.053      -0.005    2.69e-05
ATS3i              0.0036      0.003      1.220      0.234      -0.003       0.010
ATS4i              0.0005      0.002      0.210      0.836      -0.005       0.006
ATS5i             -0.0032      0.001     -2.193      0.038      -0.006      -0.000
ATS6i              0.0009      0.003      0.273      0.787      -0.006       0.007
ATS7i              0.0013      0.002      0.582      0.566      -0.003       0.006
ATS8i          -1.459e-05      0.001     -0.019      0.985      -0.002       0.002
AATS0dv        -4.652e-05      0.000     -0.156      0.877      -0.001       0.001
AATS1dv        -2.574e-05      0.000     -0.149      0.883      -0.000       0.000
AATS2dv        -5.209e-05      0.000     -0.487      0.630      -0.000       0.000
AATS3dv        -5.587e-05      0.000     -0.317      0.754      -0.000       0.000
AATS4dv        -4.353e-05      0.000     -0.221      0.827      -0.000       0.000
AATS5dv         -4.39e-05   9.09e-05     -0.483      0.633      -0.000       0.000
AATS6dv        -1.015e-05      0.000     -0.095      0.925      -0.000       0.000
AATS7dv        -1.321e-05      0.000     -0.067      0.947      -0.000       0.000
AATS8dv           -0.0001      0.000     -0.310      0.759      -0.001       0.001
AATS0d          1.933e-06   1.44e-05      0.134      0.895   -2.79e-05    3.17e-05
AATS1d          6.527e-06   1.36e-05      0.480      0.636   -2.15e-05    3.46e-05
AATS2d          9.712e-06   1.69e-05      0.574      0.571   -2.52e-05    4.46e-05
AATS3d         -1.854e-05   1.25e-05     -1.484      0.151   -4.43e-05    7.25e-06
AATS4d         -9.168e-07   1.13e-05     -0.081      0.936   -2.42e-05    2.24e-05
AATS5d         -7.525e-06   7.18e-06     -1.048      0.305   -2.23e-05     7.3e-06
AATS6d         -1.031e-05      1e-05     -1.031      0.313    -3.1e-05    1.03e-05
AATS7d          2.083e-07   2.34e-05      0.009      0.993   -4.81e-05    4.85e-05
AATS8d         -3.959e-05   1.22e-05     -3.250      0.003   -6.47e-05   -1.45e-05
AATS0Z             0.0002      0.000      0.720      0.478      -0.000       0.001
AATS1Z           7.38e-05   4.37e-05      1.690      0.104   -1.63e-05       0.000
AATS2Z           8.87e-05   3.73e-05      2.378      0.026    1.17e-05       0.000
AATS3Z         -2.542e-05   7.01e-05     -0.362      0.720      -0.000       0.000
AATS4Z             0.0002      0.000      1.410      0.171   -7.93e-05       0.000
AATS5Z          1.258e-05      0.000      0.082      0.935      -0.000       0.000
AATS6Z            -0.0002      0.000     -0.751      0.460      -0.001       0.000
AATS7Z            -0.0001      0.000     -0.383      0.705      -0.001       0.000
AATS8Z            -0.0006      0.000     -3.019      0.006      -0.001      -0.000
AATS0m             0.0009      0.001      0.710      0.485      -0.002       0.004
AATS1m             0.0003      0.000      1.352      0.189      -0.000       0.001
AATS2m             0.0003      0.000      1.902      0.069   -2.83e-05       0.001
AATS3m         -9.985e-05      0.000     -0.333      0.742      -0.001       0.001
AATS4m             0.0006      0.001      1.211      0.238      -0.000       0.002
AATS5m         -9.249e-05      0.001     -0.117      0.908      -0.002       0.002
AATS6m            -0.0010      0.001     -0.764      0.452      -0.004       0.002
AATS7m            -0.0004      0.001     -0.269      0.790      -0.003       0.002
AATS8m            -0.0026      0.001     -3.358      0.003      -0.004      -0.001
AATS0v             0.0006      0.000      1.375      0.182      -0.000       0.001
AATS1v             0.0005      0.000      3.522      0.002       0.000       0.001
AATS2v             0.0007      0.000      3.666      0.001       0.000       0.001
AATS3v            -0.0008      0.000     -3.512      0.002      -0.001      -0.000
AATS4v             0.0004      0.000      1.020      0.318      -0.000       0.001
AATS5v            -0.0002    9.6e-05     -2.347      0.028      -0.000   -2.72e-05
AATS6v            -0.0008      0.001     -1.392      0.177      -0.002       0.000
AATS7v             0.0007      0.001      0.916      0.369      -0.001       0.002
AATS8v            -0.0017      0.001     -2.253      0.034      -0.003      -0.000
AATS0se        -9.602e-06   3.74e-05     -0.257      0.799   -8.68e-05    6.76e-05
AATS1se        -9.488e-06   1.59e-05     -0.597      0.556   -4.23e-05    2.33e-05
AATS2se        -1.833e-05   1.24e-05     -1.474      0.154    -4.4e-05    7.34e-06
AATS3se        -9.806e-06   4.36e-05     -0.225      0.824   -9.97e-05    8.01e-05
AATS4se        -5.295e-06   2.36e-05     -0.225      0.824   -5.39e-05    4.33e-05
AATS5se         6.048e-08   2.41e-05      0.003      0.998   -4.97e-05    4.98e-05
AATS6se        -5.962e-06   4.73e-05     -0.126      0.901      -0.000    9.17e-05
AATS7se         4.543e-09   1.99e-05      0.000      1.000    -4.1e-05    4.11e-05
AATS8se        -4.874e-06   3.96e-05     -0.123      0.903   -8.65e-05    7.68e-05
AATS0pe        -8.524e-06   4.75e-05     -0.179      0.859      -0.000    8.96e-05
AATS1pe        -8.601e-06   1.94e-05     -0.443      0.662   -4.87e-05    3.15e-05
AATS2pe        -1.702e-05   1.53e-05     -1.113      0.277   -4.86e-05    1.45e-05
AATS3pe        -1.127e-05   5.01e-05     -0.225      0.824      -0.000    9.21e-05
AATS4pe        -6.586e-06   2.93e-05     -0.225      0.824   -6.71e-05    5.39e-05
AATS5pe         -2.24e-06   2.87e-05     -0.078      0.939   -6.16e-05    5.71e-05
AATS6pe         -7.94e-06    5.3e-05     -0.150      0.882      -0.000       0.000
AATS7pe         4.427e-06   2.59e-05      0.171      0.866    -4.9e-05    5.79e-05
AATS8pe         -2.15e-06   5.01e-05     -0.043      0.966      -0.000       0.000
AATS0are       -9.512e-06   5.86e-05     -0.162      0.872      -0.000       0.000
AATS1are       -9.178e-06   2.32e-05     -0.396      0.695    -5.7e-05    3.86e-05
AATS2are       -1.904e-05   1.85e-05     -1.027      0.315   -5.73e-05    1.92e-05
AATS3are       -9.972e-06   5.93e-05     -0.168      0.868      -0.000       0.000
AATS4are       -7.403e-06   3.52e-05     -0.210      0.835   -8.01e-05    6.53e-05
AATS5are       -3.084e-06   3.35e-05     -0.092      0.927   -7.22e-05     6.6e-05
AATS6are        -6.41e-06   6.48e-05     -0.099      0.922      -0.000       0.000
AATS7are        5.695e-06   2.96e-05      0.192      0.849   -5.54e-05    6.68e-05
AATS8are        5.602e-07   6.19e-05      0.009      0.993      -0.000       0.000
AATS0p          1.085e-05   1.11e-05      0.975      0.339   -1.21e-05    3.38e-05
AATS1p          9.371e-06   7.45e-06      1.258      0.220      -6e-06    2.47e-05
AATS2p          1.015e-05   8.39e-06      1.210      0.238   -7.16e-06    2.75e-05
AATS3p         -3.031e-07   1.27e-05     -0.024      0.981   -2.66e-05     2.6e-05
AATS4p           1.01e-05   5.55e-06      1.818      0.082   -1.36e-06    2.16e-05
AATS5p          5.697e-06   1.61e-05      0.353      0.727   -2.76e-05     3.9e-05
AATS6p         -7.016e-07   1.32e-05     -0.053      0.958   -2.79e-05    2.65e-05
AATS7p         -1.588e-06   1.42e-05     -0.111      0.912    -3.1e-05    2.78e-05
AATS8p         -9.363e-06   1.47e-05     -0.636      0.531   -3.97e-05     2.1e-05
AATS0i         -3.643e-05      0.001     -0.052      0.959      -0.001       0.001
AATS1i         -3.109e-05      0.000     -0.113      0.911      -0.001       0.001
AATS2i            -0.0002      0.000     -0.798      0.433      -0.001       0.000
AATS3i             0.0003      0.001      0.322      0.750      -0.001       0.002
AATS4i            -0.0001      0.000     -0.346      0.732      -0.001       0.001
AATS5i            -0.0002      0.000     -0.531      0.600      -0.001       0.001
AATS6i             0.0002      0.001      0.213      0.833      -0.002       0.003
AATS7i          -2.14e-05      0.000     -0.074      0.942      -0.001       0.001
AATS8i          6.164e-05      0.001      0.078      0.938      -0.002       0.002
ATSC0c         -4.082e-06   6.95e-06     -0.588      0.562   -1.84e-05    1.03e-05
