Descriptor                     coef    stderr          t      pvals      y      z
AATSC3se        4.857e-07   3.06e-06      0.159      0.875   -5.82e-06    6.79e-06
AATSC4se        8.367e-07   1.73e-06      0.484      0.633   -2.73e-06     4.4e-06
AATSC5se        -7.33e-07   2.21e-07     -3.311      0.003   -1.19e-06   -2.76e-07
AATSC6se        4.822e-07   5.31e-06      0.091      0.928   -1.05e-05    1.14e-05
AATSC7se        8.805e-07   2.36e-06      0.373      0.712   -3.99e-06    5.75e-06
AATSC8se       -2.215e-06   7.11e-06     -0.312      0.758   -1.69e-05    1.25e-05
AATSC0pe       -1.028e-06   1.03e-05     -0.100      0.922   -2.23e-05    2.03e-05
AATSC1pe        1.273e-07   6.29e-07      0.202      0.841   -1.17e-06    1.43e-06
AATSC2pe       -1.079e-06   3.34e-06     -0.322      0.750   -7.98e-06    5.82e-06
AATSC3pe        3.448e-07   5.04e-06      0.068      0.946   -1.01e-05    1.07e-05
AATSC4pe        1.181e-06   2.64e-06      0.448      0.658   -4.26e-06    6.63e-06
AATSC5pe        -1.06e-06   9.24e-07     -1.146      0.263   -2.97e-06    8.48e-07
AATSC6pe        5.837e-07    8.9e-06      0.066      0.948   -1.78e-05    1.89e-05
AATSC7pe        1.455e-06   3.15e-06      0.462      0.649   -5.05e-06    7.96e-06
AATSC8pe       -3.761e-06   1.16e-05     -0.324      0.749   -2.77e-05    2.02e-05
AATSC0are      -1.103e-06   1.38e-05     -0.080      0.937   -2.96e-05    2.74e-05
AATSC1are       2.244e-07   9.47e-07      0.237      0.815   -1.73e-06    2.18e-06
AATSC2are      -1.481e-06   4.54e-06     -0.326      0.747   -1.08e-05    7.89e-06
AATSC3are       1.761e-07   5.68e-06      0.031      0.976   -1.15e-05    1.19e-05
AATSC4are       1.355e-06    3.6e-06      0.377      0.710   -6.07e-06    8.78e-06
AATSC5are      -9.767e-07   3.91e-07     -2.498      0.020   -1.78e-06    -1.7e-07
AATSC6are       9.395e-07   9.57e-06      0.098      0.923   -1.88e-05    2.07e-05
AATSC7are       1.654e-06   2.33e-06      0.709      0.485   -3.16e-06    6.47e-06
AATSC8are      -2.884e-06   1.47e-05     -0.196      0.846   -3.32e-05    2.75e-05
AATSC0p         3.332e-06   9.89e-07      3.371      0.003    1.29e-06    5.37e-06
AATSC1p         1.141e-06   3.88e-07      2.944      0.007    3.41e-07    1.94e-06
AATSC2p        -9.239e-07   2.77e-06     -0.333      0.742   -6.65e-06     4.8e-06
AATSC3p         1.444e-06    4.1e-06      0.352      0.728   -7.01e-06     9.9e-06
AATSC4p        -2.893e-06   2.51e-06     -1.151      0.261   -8.08e-06    2.29e-06
AATSC5p        -5.866e-06    8.4e-06     -0.699      0.492   -2.32e-05    1.15e-05
AATSC6p        -6.247e-07   8.83e-06     -0.071      0.944   -1.88e-05    1.76e-05
AATSC7p        -1.539e-06   1.22e-05     -0.126      0.901   -2.67e-05    2.36e-05
AATSC8p        -2.435e-06   2.47e-06     -0.988      0.333   -7.52e-06    2.65e-06
AATSC0i         2.503e-05      0.000      0.205      0.839      -0.000       0.000
AATSC1i         2.809e-06   1.38e-05      0.203      0.841   -2.57e-05    3.13e-05
AATSC2i        -2.304e-05   8.27e-05     -0.278      0.783      -0.000       0.000
AATSC3i         8.009e-06   1.62e-05      0.496      0.625   -2.53e-05    4.14e-05
AATSC4i         5.672e-06   6.03e-05      0.094      0.926      -0.000       0.000
AATSC5i        -4.418e-05      0.000     -0.429      0.671      -0.000       0.000
AATSC6i         3.433e-05   7.39e-05      0.465      0.646      -0.000       0.000
AATSC7i        -7.725e-06   9.67e-05     -0.080      0.937      -0.000       0.000
AATSC8i         2.176e-06   5.09e-05      0.043      0.966      -0.000       0.000
MATS1c           1.75e-06   6.98e-07      2.506      0.019    3.08e-07    3.19e-06
MATS2c          1.727e-06   1.35e-06      1.278      0.213   -1.06e-06    4.51e-06
MATS3c          1.059e-06   3.22e-06      0.329      0.745   -5.58e-06     7.7e-06
MATS4c          3.355e-06    2.8e-06      1.198      0.243   -2.43e-06    9.14e-06
MATS5c          -5.34e-07    6.6e-07     -0.809      0.426    -1.9e-06    8.28e-07
MATS6c          6.467e-07   3.58e-06      0.181      0.858   -6.74e-06    8.03e-06
MATS7c          4.052e-06   8.98e-06      0.451      0.656   -1.45e-05    2.26e-05
MATS8c         -5.022e-06   9.78e-06     -0.513      0.612   -2.52e-05    1.52e-05
MATS1dv         8.278e-06   1.43e-05      0.578      0.569   -2.13e-05    3.78e-05
MATS2dv         9.807e-06    1.6e-05      0.612      0.547   -2.33e-05    4.29e-05
MATS3dv        -1.981e-06   1.14e-05     -0.173      0.864   -2.56e-05    2.16e-05
MATS4dv        -9.706e-06   2.32e-05     -0.418      0.680   -5.76e-05    3.82e-05
MATS5dv         -1.53e-06   2.43e-06     -0.630      0.535   -6.54e-06    3.48e-06
MATS6dv         6.665e-06   2.17e-05      0.307      0.761   -3.81e-05    5.14e-05
MATS7dv        -2.133e-05   3.16e-05     -0.676      0.506   -8.65e-05    4.38e-05
MATS8dv        -3.235e-05   9.16e-05     -0.353      0.727      -0.000       0.000
MATS1d          7.176e-06   3.49e-06      2.054      0.051   -3.42e-08    1.44e-05
MATS2d          4.464e-06   2.05e-06      2.181      0.039     2.4e-07    8.69e-06
MATS3d         -4.504e-06   2.67e-06     -1.687      0.105      -1e-05    1.01e-06
MATS4d         -7.305e-06   2.01e-06     -3.626      0.001   -1.15e-05   -3.15e-06
MATS5d          2.618e-06   6.97e-07      3.758      0.001    1.18e-06    4.06e-06
MATS6d         -4.908e-06    6.6e-06     -0.744      0.464   -1.85e-05    8.71e-06
MATS7d         -2.735e-05    7.9e-06     -3.460      0.002   -4.37e-05    -1.1e-05
MATS8d         -2.713e-06    4.3e-06     -0.631      0.534   -1.16e-05    6.16e-06
MATS1Z           8.02e-09   2.57e-07      0.031      0.975   -5.22e-07    5.38e-07
MATS2Z          1.641e-06   6.14e-06      0.267      0.792    -1.1e-05    1.43e-05
MATS3Z          4.185e-06   2.84e-06      1.474      0.153   -1.67e-06       1e-05
MATS4Z         -2.187e-06   6.98e-06     -0.313      0.757   -1.66e-05    1.22e-05
MATS5Z           -1.1e-05   5.24e-06     -2.099      0.047   -2.18e-05   -1.82e-07
MATS6Z         -8.896e-06    2.1e-05     -0.423      0.676   -5.23e-05    3.45e-05
MATS7Z         -2.457e-06   5.42e-06     -0.453      0.654   -1.36e-05    8.73e-06
MATS8Z         -1.604e-05   4.94e-06     -3.247      0.003   -2.62e-05   -5.84e-06
MATS1m         -9.481e-09   2.34e-07     -0.041      0.968   -4.92e-07    4.74e-07
MATS2m          1.747e-06   6.54e-06      0.267      0.792   -1.18e-05    1.52e-05
MATS3m          4.152e-06   3.49e-06      1.190      0.246   -3.05e-06    1.13e-05
MATS4m         -2.132e-06   7.21e-06     -0.296      0.770    -1.7e-05    1.27e-05
MATS5m         -1.081e-05   6.05e-06     -1.785      0.087   -2.33e-05    1.69e-06
MATS6m         -9.039e-06   2.23e-05     -0.405      0.689   -5.51e-05     3.7e-05
MATS7m         -2.042e-06   5.77e-06     -0.354      0.726   -1.39e-05    9.86e-06
MATS8m         -1.721e-05   5.48e-06     -3.139      0.004   -2.85e-05   -5.89e-06
MATS1v          1.656e-06   8.67e-07      1.911      0.068   -1.33e-07    3.44e-06
MATS2v         -1.248e-06   8.21e-06     -0.152      0.880   -1.82e-05    1.57e-05
MATS3v          3.204e-06   2.95e-06      1.087      0.288   -2.88e-06    9.29e-06
MATS4v         -3.247e-06   7.89e-06     -0.412      0.684   -1.95e-05     1.3e-05
MATS5v         -1.317e-05   3.64e-06     -3.619      0.001   -2.07e-05   -5.66e-06
MATS6v          3.249e-06   1.44e-06      2.262      0.033    2.85e-07    6.21e-06
MATS7v          1.468e-07   1.09e-05      0.014      0.989   -2.23e-05    2.25e-05
MATS8v         -2.875e-05   8.19e-06     -3.512      0.002   -4.56e-05   -1.19e-05
MATS1se           1.6e-06   3.92e-06      0.408      0.687   -6.48e-06    9.68e-06
MATS2se         2.511e-06   6.68e-06      0.376      0.710   -1.13e-05    1.63e-05
MATS3se         1.692e-06   1.13e-05      0.150      0.882   -2.17e-05     2.5e-05
MATS4se         3.256e-06   2.43e-06      1.339      0.193   -1.76e-06    8.27e-06
MATS5se        -3.388e-06   1.55e-06     -2.185      0.039   -6.59e-06   -1.88e-07
MATS6se        -1.895e-06   1.26e-05     -0.151      0.882   -2.79e-05    2.41e-05
MATS7se        -8.977e-06   3.56e-05     -0.252      0.803   -8.25e-05    6.46e-05
MATS8se        -2.143e-05   4.87e-05     -0.440      0.664      -0.000     7.9e-05
MATS1pe         3.417e-07   3.36e-06      0.102      0.920    -6.6e-06    7.28e-06
MATS2pe         4.895e-06   1.11e-05      0.440      0.664   -1.81e-05    2.78e-05
MATS3pe         2.062e-06   1.36e-05      0.151      0.881   -2.61e-05    3.02e-05
MATS4pe         1.362e-06   8.55e-06      0.159      0.875   -1.63e-05     1.9e-05
MATS5pe        -2.921e-06   4.18e-06     -0.699      0.491   -1.15e-05    5.71e-06
MATS6pe         4.046e-06   2.43e-05      0.167      0.869   -4.61e-05    5.41e-05
MATS7pe        -9.052e-06   4.64e-05     -0.195      0.847      -0.000    8.67e-05
MATS8pe         -3.34e-05   7.65e-05     -0.437      0.666      -0.000       0.000
MATS1are        3.579e-07   3.82e-06      0.094      0.926   -7.53e-06    8.24e-06
MATS2are        3.541e-06   8.58e-06      0.412      0.684   -1.42e-05    2.13e-05
MATS3are        4.408e-07   7.63e-06      0.058      0.954   -1.53e-05    1.62e-05
MATS4are        2.186e-06   5.28e-06      0.414      0.682   -8.71e-06    1.31e-05
MATS5are       -9.714e-07   1.05e-05     -0.093      0.927   -2.26e-05    2.06e-05
MATS6are        5.717e-06   2.39e-05      0.239      0.813   -4.36e-05     5.5e-05
MATS7are       -8.238e-06   4.57e-05     -0.180      0.858      -0.000     8.6e-05
MATS8are        -3.02e-05   9.24e-05     -0.327      0.747      -0.000       0.000
MATS1p          2.668e-06   1.02e-06      2.619      0.015    5.65e-07    4.77e-06
MATS2p         -1.628e-06   5.52e-06     -0.295      0.770    -1.3e-05    9.76e-06
MATS3p          1.659e-06   9.41e-06      0.176      0.862   -1.78e-05    2.11e-05
MATS4p         -6.212e-06   5.65e-06     -1.099      0.283   -1.79e-05    5.45e-06
MATS5p          -1.26e-05   1.79e-05     -0.705      0.488   -4.95e-05    2.43e-05
MATS6p         -1.229e-06   1.94e-05     -0.064      0.950   -4.12e-05    3.87e-05
MATS7p         -1.817e-06   2.85e-05     -0.064      0.950   -6.07e-05    5.71e-05
MATS8p         -5.533e-06   5.69e-06     -0.972      0.341   -1.73e-05    6.22e-06
MATS1i          6.175e-06   2.14e-05      0.288      0.776   -3.81e-05    5.04e-05
MATS2i         -7.689e-06   7.16e-05     -0.107      0.915      -0.000       0.000
MATS3i         -1.367e-06   2.29e-05     -0.060      0.953   -4.86e-05    4.59e-05
MATS4i          4.051e-06   4.72e-05      0.086      0.932   -9.34e-05       0.000
MATS5i         -1.297e-05   8.42e-06     -1.539      0.137   -3.04e-05    4.42e-06
MATS6i          4.032e-06   1.05e-05      0.383      0.705   -1.77e-05    2.57e-05
MATS7i          6.041e-06   1.84e-05      0.327      0.746    -3.2e-05    4.41e-05
MATS8i         -4.689e-06    3.3e-05     -0.142      0.888   -7.29e-05    6.35e-05
GATS1c         -8.362e-06   3.43e-06     -2.440      0.022   -1.54e-05   -1.29e-06
GATS2c         -6.958e-06   4.42e-06     -1.573      0.129   -1.61e-05    2.17e-06
GATS3c         -1.288e-05   5.65e-06     -2.278      0.032   -2.46e-05   -1.21e-06
GATS4c         -1.276e-05   3.56e-06     -3.584      0.001   -2.01e-05   -5.41e-06
GATS5c         -8.713e-06   3.13e-06     -2.786      0.010   -1.52e-05   -2.26e-06
GATS6c         -1.052e-05    7.7e-06     -1.366      0.184   -2.64e-05    5.37e-06
GATS7c         -5.056e-06   1.24e-05     -0.409      0.686   -3.06e-05    2.05e-05
GATS8c         -1.176e-05   8.09e-06     -1.453      0.159   -2.85e-05    4.94e-06
GATS1dv        -9.182e-06   9.97e-06     -0.921      0.366   -2.98e-05    1.14e-05
GATS2dv         -1.51e-05   1.63e-05     -0.924      0.365   -4.88e-05    1.86e-05
GATS3dv          2.81e-06   5.19e-06      0.541      0.594   -7.91e-06    1.35e-05
GATS4dv         1.202e-05   4.18e-05      0.287      0.776   -7.43e-05    9.83e-05
GATS5dv         7.358e-06   1.03e-05      0.716      0.481   -1.38e-05    2.86e-05
GATS6dv         4.534e-07   1.87e-05      0.024      0.981   -3.82e-05    3.91e-05
GATS7dv         2.779e-05   5.94e-05      0.468      0.644   -9.48e-05       0.000
GATS8dv         2.784e-05   7.05e-05      0.395      0.696      -0.000       0.000
GATS1d          -6.69e-06   3.12e-06     -2.145      0.042   -1.31e-05   -2.52e-07
GATS2d         -3.632e-06   1.46e-06     -2.481      0.021   -6.65e-06    -6.1e-07
GATS3d         -4.549e-06   7.91e-06     -0.575      0.571   -2.09e-05    1.18e-05
GATS4d          5.551e-06   2.15e-06      2.579      0.016    1.11e-06    9.99e-06
GATS5d         -5.895e-06   1.78e-06     -3.309      0.003   -9.57e-06   -2.22e-06
GATS6d          2.066e-06   1.17e-05      0.176      0.862   -2.21e-05    2.63e-05
GATS7d          2.901e-05   8.54e-06      3.398      0.002    1.14e-05    4.66e-05
GATS8d          -7.84e-06   3.29e-06     -2.382      0.025   -1.46e-05   -1.05e-06
GATS1Z         -8.089e-07   4.97e-07     -1.627      0.117   -1.83e-06    2.17e-07
GATS2Z         -1.741e-06   3.27e-06     -0.532      0.600    -8.5e-06    5.01e-06
GATS3Z         -5.019e-06   4.33e-06     -1.159      0.258    -1.4e-05    3.92e-06
GATS4Z          7.247e-06   8.58e-06      0.844      0.407   -1.05e-05     2.5e-05
GATS5Z          2.064e-05   6.11e-06      3.381      0.002    8.04e-06    3.32e-05
GATS6Z          1.562e-05   1.76e-05      0.886      0.384   -2.08e-05     5.2e-05
GATS7Z         -1.552e-05    1.1e-05     -1.416      0.170   -3.81e-05     7.1e-06
GATS8Z         -4.497e-06   2.23e-05     -0.201      0.842   -5.06e-05    4.16e-05
GATS1m         -1.137e-06   8.01e-07     -1.418      0.169   -2.79e-06    5.17e-07
GATS2m         -2.232e-06   3.86e-06     -0.578      0.569   -1.02e-05    5.74e-06
GATS3m         -4.998e-06   4.22e-06     -1.184      0.248   -1.37e-05    3.71e-06
GATS4m          6.508e-06   7.85e-06      0.829      0.415    -9.7e-06    2.27e-05
GATS5m          1.951e-05   5.78e-06      3.374      0.003    7.58e-06    3.14e-05
GATS6m          1.506e-05   1.83e-05      0.823      0.418   -2.27e-05    5.28e-05
GATS7m         -1.572e-05   1.24e-05     -1.264      0.218   -4.14e-05    9.95e-06
GATS8m         -2.467e-06   2.03e-05     -0.122      0.904   -4.43e-05    3.94e-05
GATS1v         -4.251e-06   3.16e-06     -1.346      0.191   -1.08e-05    2.27e-06
GATS2v          2.822e-06   5.01e-06      0.563      0.578   -7.51e-06    1.32e-05
GATS3v         -6.171e-06   6.23e-06     -0.990      0.332    -1.9e-05    6.69e-06
GATS4v          2.456e-08    9.4e-06      0.003      0.998   -1.94e-05    1.94e-05
GATS5v          1.465e-05   5.72e-06      2.561      0.017    2.84e-06    2.65e-05
GATS6v         -2.663e-06   5.93e-06     -0.449      0.658   -1.49e-05    9.58e-06
GATS7v         -1.074e-05   1.08e-05     -0.998      0.328   -3.29e-05    1.15e-05
GATS8v          2.466e-05    7.5e-06      3.286      0.003    9.17e-06    4.01e-05
GATS1se        -8.118e-06   5.32e-06     -1.525      0.140   -1.91e-05    2.87e-06
GATS2se        -8.553e-06   1.08e-05     -0.794      0.435   -3.08e-05    1.37e-05
GATS3se         -9.64e-06   4.32e-05     -0.223      0.825   -9.87e-05    7.94e-05
GATS4se        -1.809e-05   3.83e-05     -0.473      0.641   -9.71e-05    6.09e-05
GATS5se        -3.362e-07   2.18e-05     -0.015      0.988   -4.54e-05    4.47e-05
GATS6se         1.827e-05   1.73e-05      1.059      0.300   -1.73e-05    5.39e-05
GATS7se         2.089e-05    5.5e-05      0.380      0.708   -9.27e-05       0.000
GATS8se         1.513e-05   1.07e-05      1.418      0.169   -6.89e-06    3.72e-05
GATS1pe        -8.748e-06   3.75e-06     -2.333      0.028   -1.65e-05   -1.01e-06
GATS2pe        -1.442e-05   1.13e-05     -1.274      0.215   -3.78e-05    8.94e-06
GATS3pe        -6.813e-06   5.07e-05     -0.134      0.894      -0.000    9.78e-05
GATS4pe        -1.344e-05   2.99e-05     -0.450      0.657   -7.51e-05    4.82e-05
GATS5pe         1.197e-07   1.96e-05      0.006      0.995   -4.03e-05    4.06e-05
GATS6pe          9.57e-06   3.04e-05      0.314      0.756   -5.32e-05    7.24e-05
GATS7pe         1.687e-05   6.86e-05      0.246      0.808      -0.000       0.000
GATS8pe         2.952e-05   4.15e-05      0.712      0.484   -5.61e-05       0.000
GATS1are       -9.156e-06   7.43e-06     -1.233      0.229   -2.45e-05    6.17e-06
GATS2are       -1.359e-05   2.35e-05     -0.579      0.568    -6.2e-05    3.48e-05
GATS3are        -6.98e-06   5.33e-05     -0.131      0.897      -0.000       0.000
GATS4are       -1.862e-05   5.38e-05     -0.346      0.732      -0.000    9.25e-05
GATS5are        -4.19e-06   3.37e-05     -0.124      0.902   -7.37e-05    6.54e-05
GATS6are        1.223e-05   1.47e-05      0.830      0.415   -1.82e-05    4.27e-05
GATS7are        2.098e-05   9.01e-05      0.233      0.818      -0.000       0.000
GATS8are        2.573e-05   5.09e-05      0.505      0.618   -7.93e-05       0.000
GATS1p         -5.066e-06   3.57e-06     -1.418      0.169   -1.24e-05    2.31e-06
GATS2p          3.484e-06   5.15e-06      0.677      0.505   -7.14e-06    1.41e-05
GATS3p          -5.89e-06   4.58e-06     -1.286      0.211   -1.53e-05    3.56e-06
GATS4p          7.193e-06   4.26e-06      1.688      0.104    -1.6e-06     1.6e-05
GATS5p          2.435e-05   1.99e-05      1.224      0.233   -1.67e-05    6.54e-05
GATS6p          6.437e-06    2.1e-05      0.307      0.762   -3.69e-05    4.98e-05
GATS7p         -2.055e-05   2.82e-05     -0.728      0.474   -7.88e-05    3.77e-05
GATS8p         -7.925e-06   1.47e-05     -0.540      0.594   -3.82e-05    2.24e-05
GATS1i         -1.481e-05   5.26e-05     -0.282      0.781      -0.000    9.37e-05
GATS2i          4.458e-06   2.97e-05      0.150      0.882   -5.69e-05    6.58e-05
GATS3i         -4.241e-06   3.76e-05     -0.113      0.911   -8.18e-05    7.33e-05
GATS4i          -1.68e-05   4.52e-05     -0.372      0.713      -0.000    7.64e-05
GATS5i          9.836e-06   6.55e-06      1.501      0.146   -3.69e-06    2.34e-05
GATS6i         -8.504e-07   1.35e-05     -0.063      0.950   -2.88e-05    2.71e-05
GATS7i         -2.441e-05   1.12e-05     -2.179      0.039   -4.75e-05   -1.28e-06
GATS8i         -3.445e-07   9.96e-06     -0.035      0.973   -2.09e-05    2.02e-05
BalabanJ       -6.021e-12   2.66e-12     -2.268      0.033   -1.15e-11   -5.41e-13
BertzCT            0.0035      0.002      2.263      0.033       0.000       0.007
nBonds         -9.358e-06   3.09e-06     -3.033      0.006   -1.57e-05   -2.99e-06
nBondsO        -1.628e-16   2.14e-16     -0.759      0.455   -6.05e-16     2.8e-16
nBondsS        -1.381e-05   8.39e-06     -1.645      0.113   -3.11e-05    3.52e-06
nBondsD         4.436e-06   5.82e-06      0.762      0.453   -7.57e-06    1.64e-05
nBondsT                 0          0        nan        nan           0           0
nBondsA         1.317e-08   3.75e-09      3.511      0.002    5.43e-09    2.09e-08
nBondsM         4.449e-06   5.82e-06      0.764      0.452   -7.56e-06    1.65e-05
nBondsKS        -1.38e-05   8.39e-06     -1.644      0.113   -3.11e-05    3.52e-06
nBondsKD        4.443e-06   5.82e-06      0.763      0.453   -7.57e-06    1.65e-05
RNCG            9.514e-06    3.5e-06      2.722      0.012     2.3e-06    1.67e-05
RPCG            1.456e-06    1.8e-06      0.810      0.426   -2.25e-06    5.17e-06
C1SP1                   0          0        nan        nan           0           0
C2SP1                   0          0        nan        nan           0           0
C1SP2           4.436e-06   5.82e-06      0.762      0.453   -7.57e-06    1.64e-05
C2SP2           6.527e-07   8.87e-06      0.074      0.942   -1.77e-05     1.9e-05
C3SP2           3.797e-06   4.54e-06      0.837      0.411   -5.56e-06    1.32e-05
C1SP3           1.271e-05   4.64e-06      2.741      0.011    3.14e-06    2.23e-05
C2SP3          -8.299e-06   7.74e-06     -1.072      0.294   -2.43e-05    7.68e-06
C3SP3                   0          0        nan        nan           0           0
C4SP3                   0          0        nan        nan           0           0
HybRatio       -8.015e-06   2.55e-06     -3.138      0.004   -1.33e-05   -2.74e-06
FCSP3          -8.015e-06   2.55e-06     -3.138      0.004   -1.33e-05   -2.74e-06
Xch-3d                  0          0        nan        nan           0           0
Xch-4d                  0          0        nan        nan           0           0
Xch-5d         -1.869e-16   7.93e-16     -0.236      0.816   -1.82e-15    1.45e-15
Xch-6d         -4.408e-07    1.5e-07     -2.930      0.007   -7.51e-07    -1.3e-07
Xch-7d          9.188e-07   2.43e-07      3.781      0.001    4.17e-07    1.42e-06
Xch-3dv                 0          0        nan        nan           0           0
Xch-4dv                 0          0        nan        nan           0           0
Xch-5dv        -1.629e-16   6.91e-16     -0.236      0.816   -1.59e-15    1.26e-15
Xch-6dv        -2.028e-07   7.53e-08     -2.695      0.013   -3.58e-07   -4.75e-08
Xch-7dv          6.62e-08   1.06e-07      0.627      0.537   -1.52e-07    2.84e-07
Xc-3d           2.207e-06   1.43e-06      1.546      0.135    -7.4e-07    5.15e-06
Xc-4d          -4.886e-07   8.04e-07     -0.608      0.549   -2.15e-06    1.17e-06
Xc-5d           2.272e-07   6.23e-07      0.364      0.719   -1.06e-06    1.51e-06
Xc-6d           4.298e-07   7.98e-07      0.539      0.595   -1.22e-06    2.08e-06
Xc-3dv          1.703e-06   2.44e-06      0.697      0.493   -3.34e-06    6.75e-06
Xc-4dv          2.255e-07   4.02e-07      0.561      0.580   -6.05e-07    1.06e-06
Xc-5dv          2.408e-07   6.44e-07      0.374      0.712   -1.09e-06    1.57e-06
Xc-6dv          8.919e-08   1.42e-07      0.627      0.537   -2.04e-07    3.83e-07
Xpc-4d           5.51e-06   4.19e-06      1.314      0.201   -3.14e-06    1.42e-05
Xpc-5d          7.267e-06   4.21e-06      1.728      0.097   -1.41e-06    1.59e-05
Xpc-6d          1.662e-05    5.3e-06      3.134      0.005    5.67e-06    2.76e-05
Xpc-4dv         3.109e-06   1.15e-06      2.697      0.013     7.3e-07    5.49e-06
Xpc-5dv          3.89e-06   1.26e-06      3.080      0.005    1.28e-06     6.5e-06
Xpc-6dv         4.698e-06   1.99e-06      2.361      0.027    5.91e-07    8.81e-06
Xp-1d          -1.036e-06   9.84e-07     -1.053      0.303   -3.07e-06    9.94e-07
Xp-2d           1.817e-06   1.88e-06      0.965      0.344   -2.07e-06     5.7e-06
Xp-3d           2.411e-06   3.07e-06      0.786      0.440   -3.92e-06    8.75e-06
Xp-4d            2.72e-06   1.06e-06      2.560      0.017    5.27e-07    4.91e-06
Xp-5d             4.2e-06   1.43e-06      2.944      0.007    1.26e-06    7.14e-06
Xp-6d           1.914e-06   1.13e-06      1.697      0.103   -4.14e-07    4.24e-06
Xp-7d           6.585e-07   1.04e-06      0.633      0.533   -1.49e-06     2.8e-06
AXp-1d           -3.6e-07   2.06e-07     -1.748      0.093   -7.85e-07    6.51e-08
AXp-2d         -2.875e-07   2.35e-07     -1.222      0.234   -7.73e-07    1.98e-07
AXp-3d         -2.375e-07   7.84e-08     -3.028      0.006   -3.99e-07   -7.56e-08
AXp-4d          7.525e-08   2.14e-07      0.352      0.728   -3.66e-07    5.16e-07
AXp-5d          9.902e-08   1.18e-07      0.837      0.411   -1.45e-07    3.43e-07
AXp-6d         -1.403e-07   6.58e-08     -2.133      0.043   -2.76e-07   -4.53e-09
AXp-7d         -1.877e-10    8.3e-08     -0.002      0.998   -1.72e-07    1.71e-07
Xp-0dv         -3.827e-06    3.7e-06     -1.034      0.311   -1.15e-05    3.81e-06
Xp-1dv          7.179e-06   9.32e-06      0.771      0.449   -1.21e-05    2.64e-05
Xp-2dv          4.285e-06   2.73e-06      1.568      0.130   -1.35e-06    9.93e-06
Xp-3dv          3.851e-06   4.76e-06      0.808      0.427   -5.98e-06    1.37e-05
Xp-4dv           3.02e-06    3.1e-06      0.974      0.340   -3.38e-06    9.42e-06
Xp-5dv          1.586e-06   2.03e-06      0.782      0.442    -2.6e-06    5.77e-06
Xp-6dv          3.198e-06   3.22e-06      0.992      0.331   -3.46e-06    9.85e-06
Xp-7dv          1.843e-06   2.25e-06      0.818      0.422   -2.81e-06    6.49e-06
AXp-0dv         1.236e-06   5.51e-06      0.224      0.824   -1.01e-05    1.26e-05
AXp-1dv         1.751e-06   2.98e-06      0.589      0.562   -4.39e-06    7.89e-06
AXp-2dv         1.204e-06   1.97e-06      0.613      0.546   -2.85e-06    5.26e-06
AXp-3dv         6.986e-07   8.34e-07      0.838      0.410   -1.02e-06    2.42e-06
AXp-4dv         5.249e-07   6.73e-07      0.780      0.443   -8.64e-07    1.91e-06
AXp-5dv         3.902e-07   6.97e-07      0.560      0.581   -1.05e-06    1.83e-06
AXp-6dv         2.683e-07    3.8e-07      0.705      0.487   -5.17e-07    1.05e-06
AXp-7dv         1.991e-07   2.75e-07      0.725      0.475   -3.68e-07    7.66e-07
SZ             -8.892e-06   3.38e-06     -2.633      0.015   -1.59e-05   -1.92e-06
Sm             -6.479e-06   3.01e-06     -2.150      0.042   -1.27e-05    -2.6e-07
Sv             -5.969e-06   2.74e-06     -2.177      0.040   -1.16e-05   -3.11e-07
Sse            -7.339e-06   4.64e-06     -1.583      0.126   -1.69e-05    2.23e-06
Spe            -3.821e-06   3.89e-06     -0.982      0.336   -1.19e-05    4.21e-06
Sare           -7.476e-07   5.07e-06     -0.148      0.884   -1.12e-05    9.71e-06
Sp             -9.552e-06   3.65e-06     -2.620      0.015   -1.71e-05   -2.03e-06
Si             -3.747e-06   4.67e-06     -0.802      0.431   -1.34e-05     5.9e-06
MZ              1.527e-06   7.99e-07      1.910      0.068   -1.23e-07    3.18e-06
Mm              1.577e-06   1.12e-06      1.409      0.172   -7.33e-07    3.89e-06
Mv              8.201e-07   2.29e-07      3.586      0.001    3.48e-07    1.29e-06
Mse            -5.219e-07   2.01e-06     -0.260      0.797   -4.66e-06    3.62e-06
Mpe            -5.431e-07   2.89e-06     -0.188      0.853   -6.51e-06    5.42e-06
Mare           -6.276e-07   3.59e-06     -0.175      0.863   -8.04e-06    6.78e-06
Mp              1.883e-06   2.63e-06      0.715      0.482   -3.55e-06    7.32e-06
Mi               -1.9e-07   2.03e-06     -0.094      0.926   -4.37e-06    3.99e-06
NsLi                    0          0        nan        nan           0           0
NssBe                   0          0        nan        nan           0           0
NssssBe                 0          0        nan        nan           0           0
NssBH                   0          0        nan        nan           0           0
NsssB                   0          0        nan        nan           0           0
NssssB                  0          0        nan        nan           0           0
NsCH3           9.065e-06   1.59e-05      0.570      0.574   -2.37e-05    4.19e-05
NdCH2           4.436e-06   5.82e-06      0.762      0.453   -7.57e-06    1.64e-05
NssCH2         -9.626e-06    1.9e-05     -0.505      0.618   -4.89e-05    2.97e-05
NtCH                    0          0        nan        nan           0           0
NdsCH           4.436e-06   5.82e-06      0.762      0.453   -7.57e-06    1.64e-05
NaaCH          -1.888e-05   6.59e-06     -2.864      0.009   -3.25e-05   -5.27e-06
NsssCH                  0          0        nan        nan           0           0
NddC                    0          0        nan        nan           0           0
NtsC                    0          0        nan        nan           0           0
